,descr,netname
638,Bildungszentrum Elstal des Bundes|Evangelisch-Freikirchlicher Gemeinden in Deutschland|,CW-DE-ELSTAL-NET
643,Schulen der Bundesstadt Bonn|,SCHULEN-BONN
659,Bundesverwaltung fuer Verkehr- Bau und Wohnungswesen|Robert-Schuman-Platz 1|53175 Bonn|,BVVBW-WAN
661,KATHOLISCHE FRAUENGEMEINSCHAFT DEUTSCHLANDS BUNDESVERBAND EV|,NET-DE-KATHOLISCHE-FRAUENGEMEINSCHAFT
662,ZID der Bundesfinanzverwaltung|,ZID-DER-BUNDESFINANZVERWALTUNG-FRANKFURT-NET
664,Kulturveranstaltungen des Bundes in Berlin GmbH|Schoeneberger Str. 15|10963|Berlin|,KBB-BERLIN-NET
665,TSI fuer ZID|,ZID-DER-BUNDESFINANZVERWALTUNG-FRANKFURT-NET
668,Bundesverb. Deut. Tabakwareng. u. Automatena. e.V.|,QSC-CUSTOMER-508973-79954
671,SVG BUNDESZENTRALGENOSSENSCHAFT STRASSENVERKEHR EG|,NET-DE-SVG-BUNDESZENTRALGENOSSENSCHAFT
677,SVG Bundes-Zentralgenossenschaft|,SVG-FRANKFURT-NET
691,VZBV Verbraucherzentrale  Bundesverband e.V. Hr M.Krumm|Markgrafenstr 66|10969|Berlin|,VZBV-BERLIN-TNET
696,Kassenaerztliche Bundesvereinigung|Universitaetsstr. 73|D-50931 Koeln|,KASSENAERZTE-1
697,Bundesverband der Deutschen Zementindustrie|Pferdmengestrasse 7|D-50968 Koeln|Germany|,KOELN
698,Bundesknappschaft|,BUNDESKNAPPSCHAFT-BOCHUM-NET
709,"Bundesknappschaft Bochum|Koenigsallee 175, 44799 Bochum|Remote connection to SAP|",SAP-BUKS-SR-DE
710,"Bundesknappschaft Bochum|Koenigsallee 175, 44799 Bochum|Remote connection to SAP|",SAP-BUKS-I21-DE
711,Bundesrepublik Deutschland Finanzagentur GmbH|Lurgiallee 5|D-60295 Frankfurt|,FINANZAGENTUR-LAN
712,Bundesschuldenverwaltung|Bahnhofstr. 16-18|61352 Bad Homburg|,BUND
713,Bundesverband der landw. Krankenkassen|Weissensteinstr. 72|D-34131 Kassel|,BLSV-LAN
714,Bundeszentrale fuer politische Bildung|Berliner Freiheit 7|53111 Bonn|,BPB
716,Bundesverband der deutschen Gas- und Wasserwirtschaft e.V.|Josef-Wirmer-Str. 1|D-53123 Bonn|Germany|,BGW
