Bundesanstalt fuer Arbeit Arbeitsamt Sinzig||,1
Bundeswehr Hepenser Groden||BUNDESWEHR-HEPENSER-GRODEN-WILHELMSHAVEN-NET2|,1
Bundeswehr/Headquaters-2nd-German-Air-Division||,1
ZKA Zollkriminalamt|Bergisch-Gladbacher-Str. 837|D-51069 Koeln|Germany||,1
BUNDESLIEGENSCHAFT-NET17|,1
Bundesanstalt fuer Arbeit Arbeitsamt Bad Duerkheim||,1
Bundesanstalt fuer Arbeit Arbeitsamt Frankenthal||,1
Geozentrum-Hannover|Bundesanstalt fuer Geowissenschaften und Rohstoffe||,1
Bundesliegenschaft-NET4|,1
Bundesanstalt fuer Arbeit Arbeitsamt Emmendingen||,1
Bundesanstalt fuer Arbeit Arbeitsamt Apolda||,1
"Bundesamt fuer Wehrverwaltung, Bonn|Remote connection to SAP||",1
Bundesinstitut fuer Risikobewertung||,1
Bundesanstalt fuer Arbeit Arbeitsamt Arnstadt||,1
BUNDESLIEGENSCHAFT-NET37|,1
Bundesanstalt fuer Arbeit Arbeitsamt Ludwigslust||,1
Bundesanstalt fuer Arbeit Arbeitsamt Frechen||,1
Bundesnetzagentur|Mainz||,1
Bundesanstalt fuer Arbeit Arbeitsamt Greven||,1
Bundesanstalt fuer Arbeit Arbeitsamt Aichach||,1
Bundesanstalt fuer Arbeit Arbeitsamt Forst||,1
BUNDESMINISTERIUM DER FINANZEN||NET-DE-BUNDESMINISTERIUM-DER-FINANZEN|,1
Zollkriminalamt||,1
Bundesanstalt fuer Arbeit Arbeitsamt Koenigs Wusterhausen||,1
Bundesanstalt fuer Arbeit Arbeitsamt Starnberg||,1
Bundesanstalt fuer Arbeit Arbeitsamt Ettlingen||,1
Bundesanstalt fuer Arbeit Arbeitsamt Warstein||,1
Bundesanstalt fuer Arbeit Arbeitsamt Lpz.||,1
Gaestehaus der Bundesregierung Meseberg||GAESTEHAUS-DER-BUNDESREGIERUNG-MESEBERG-GRANSEE-NET|,1
"Bundesnetzagentur  Mainz|Mainz, de||",1
Bundesanstalt fuer Arbeit Arbeitsamt Gelsenkirchen||,1
Bundesanstalt fuer Arbeit Arbeitsamt Ochsenfurt||,1
Bundesanstalt fuer Arbeit Arbeitsamt Wadern||,1
Bundesanstalt fuer Arbeitsamt Illingen||,1
Zentrale Deutscher Wetterdienst||,1
Bundesanstalt fuer Arbeit Arbeitsamt Dillenburg||,1
Bundesliegenschaft-NET5|,1
Bundesanstalt fuer Arbeit Arbeitsamt Plettenberg||,1
Bundesnetzagentur|Talstr. 34|D-66119 Saarbruecken|Germany||,1
"Bundesanstalt fuer Post und Telekommunikation|Maybachstr. 54-56, 70469 Stuttgart||",1
BUNDESWEHR-AUSBILDUNG-AACHEN-NET|,1
Bundesanstalt fuer Arbeit Arbeitsamt Seligenstadt||,1
Bundesanstalt fuer Arbeit Arbeitsamt Quedlinburg||,1
Bundeswehrkrankenhaus /Luftrettungsstation Christoph 22||,1
ORG-LW49-RIPE|,1
Bundesanstalt fuer Arbeit Arbeitsamt Magdeburg||,1
BUNDESWEHRZENTRALKRANKENHAUS-KOBLENZ-NET|,1
Bundesamt fuer Strahlenschutz|Rosastr. 9|79098 Freiburg||,1
T-Systems International|Saonestr. 3|60528 Frankfurt; Germany|Address Range for Bundesagentur fur Arbeit (BA)||,1
Bundesanstalt fuer Arbeit Arbeitsamt Daun||,1
Bundesanstalt fuer Arbeit Arbeitsamt Hessisch Lichtenau||,1
BUNDESMINISTERIUM FUER ARBEIT UND SOZIALES||NET-DE-BUNDESMINISTERIUM-IA|,1
Bundesanstalt fuer Arbeit Arbeitsamt Bruehl||,1
Bundesanstalt fuer Arbeit Arbeitsamt Zweibruecken||,1
ORG-BWI1-RIPE|,1
