,inet6num,name,inetnum,primary-key
455,,Bundesanstalt fuer Arbeit Arbeitsamt Wesel||,195.243.196.80 - 195.243.196.87,2066672
456,,Bundesanstalt fuer Arbeit Arbeitsamt Kamp-Lintfort||,195.243.196.104 - 195.243.196.111,2066678
457,,Bundesanstalt fuer Arbeit Arbeitsamt Eisenberg||,195.243.189.0 - 195.243.189.7,2072027
458,,Bundesanstalt fuer Arbeit Arbeitsamt Verden||,62.225.178.216 - 62.225.178.223,1766309
459,,Bundesanstalt fuer Arbeit Arbeitsamt Coesfeld||,80.146.225.176 - 80.146.225.183,1766342
461,,Bundesamt fuer Naturschutz|Konstantinstrasse 110|D-53179 Bonn||,217.76.99.160 - 217.76.99.223,1700851
463,,Bundesarchiv|Finkensteinallee 63|D-12205 Berlin||,213.70.137.16 - 213.70.137.23,1692577
464,,Bundesministerium der Finanzen||NET-DE-BUNDESMINISTERIUM-DER-FINANZEN|,217.110.186.216 - 217.110.186.223,1605552
467,,Bundesanstalt für Arbeit|Budapester Str. 30|D-01069 Dresden||,62.159.183.56 - 62.159.183.63,1553956
468,,Bundesanstalt fuer Arbeit Arbeitsamt Olpe||,217.5.201.152 - 217.5.201.159,2138866
469,,Bundesanstalt fuer Arbeit Arbeitsamt Radeberg||,217.6.61.240 - 217.6.61.247,2157431
472,,Bundesanstalt fuer Arbeit Arbeitsamt Kempten||,195.243.246.152 - 195.243.246.159,2156635
473,,Bundesanstalt fuer Arbeit Arbeitsamt Hermeskeil||,217.7.90.248 - 217.7.90.255,2147264
474,,Bundesanstalt fuer Arbeit Arbeitsamt Berchtesgaden||,62.154.225.248 - 62.154.225.255,2145626
475,,Bundesanstalt fuer Arbeit Arbeitsamt Geithain||,195.243.246.144 - 195.243.246.151,2156629
476,,Bundesanstalt fuer Arbeit Arbeitsamt Daun||,217.6.87.216 - 217.6.87.223,2156680
478,,Bundesanstalt fuer Arbeit Arbeitsamt Freilassing||,212.184.23.248 - 212.184.23.255,2145674
479,,Bundesanstalt fuer Arbeit Arbeitsamt Warburg||,80.156.10.16 - 80.156.10.23,2154444
481,,Bundesanstalt fuer Arbeit Arbeitsamt Lpz.||,195.243.246.136 - 195.243.246.143,2156627
485,,Bundesanstalt fuer Arbeit Arbeitsamt Konz||,62.225.158.216 - 62.225.158.223,2147328
486,,Bundesanstalt fuer Arbeit Arbeitsamt Greven||,217.6.112.136 - 217.6.112.143,2134622
488,,Bundesanstalt fuer Arbeit Arbeitsamt Lengerich||,217.6.112.144 - 217.6.112.151,2134625
491,,Biologische Bundesanstalt|Schwabenheimer Strasse 101|D-69221 Dossenheim||,213.217.121.76 - 213.217.121.79,2052318
493,,Bundesanstalt fuer Arbeit Arbeitsamt Plettenberg||,195.243.250.136 - 195.243.250.143,2072102
494,,Bundesanstalt fuer Arbeit Arbeitsamt Hofgeismar||,195.243.250.176 - 195.243.250.183,2072119
